item_name,size,synonyms,Ingredients
Strawberry Walnut Salad,Large Tray,"*Large Tray Strawberry Walnut Salad, Strawberry Walnut Salad Large Tray, Full Tray Strawberry Walnut Salad, Strawberry Walnut Salad Full Tray, Large Tray Strawberry Salad, Strawberry Salad Large Tray, Large Tray Walnut Salad, Walnut Salad Large Tray, Large Tray Strawberry wallnut, Strawberry wallnut Large Tray, Full Tray Strawberry Salad, Strawberry Salad Full Tray, Full Tray Walnut Salad, Walnut Salad Full Tray, Full Tray Strawberry wallnut, Strawberry wallnut Full Tray,strawberries salad*",
Garden Salad,Small Tray,"*Small Tray Garden Salad, Garden Salad Small Tray, Half Tray Garden Salad, Garden Salad Half Tray*",
Garden Salad,Large Tray,"*Large Tray Garden Salad, Garden Salad Large Tray, Full Tray Garden Salad, Garden Salad Full Tray*",
Signature Catering Package,Standard,"*Signature Package, Signature Catering Combo, Signature Combo, Five Pizza combo, Catering Combo*",
Third Cheese Pizza,Extra Large,"*Extra Large Cheese Pizza,Just cheese Pizza,Plain Cheese Pizza,Extra Large Pizza,Cheese Pizzas,Cheese Pizza,Extra Large Build your own Pizza,Build your own Pizza with Cheese,Cheese Lovers Delight,Cheese Lovers Pizza,Just Cheese Pizza,Plain Cheese Pizza,Only Cheese Pizza,Deluxe Cheese,Deluxe Pizza,Cheese Deluxe*",
First Cheese Pizza,Extra Large,"*Extra Large Cheese Pizza,Just cheese Pizza,Plain Cheese Pizza,Extra Large Pizza,Cheese Pizzas,Cheese Pizza,Extra Large Build your own Pizza,Build your own Pizza with Cheese,Cheese Lovers Delight,Cheese Lovers Pizza,Just Cheese Pizza,Plain Cheese Pizza,Only Cheese Pizza,Deluxe Cheese,Deluxe Pizza,Cheese Deluxe*",
Second Cheese Pizza,Extra Large,"*Extra Large Cheese Pizza,Just cheese Pizza,Plain Cheese Pizza,Extra Large Pizza,Cheese Pizzas,Cheese Pizza,Extra Large Build your own Pizza,Build your own Pizza with Cheese,Cheese Lovers Delight,Cheese Lovers Pizza,Just Cheese Pizza,Plain Cheese Pizza,Only Cheese Pizza,Deluxe Cheese,Deluxe Pizza,Cheese Deluxe*",
Cheese Toasted Ravioli,12 piece,"*Cheese Ravioli, Toasted Cheese Ravioli, Ravioli with Cheese, Ravioli Cheese, Toasted Ravioli with Cheese, Ravioli with Cheese,Toasted Ravioli,raviolis*",
Beef Toasted Ravioli,12 piece,"*Beef Ravioli, Toasted Beef Ravioli, Ravioli with Beef, Ravioli Beef, Toasted Ravioli with Beef, Ravioli with Beef,Toasted Ravioli,raviolis*",
Mixed Toasted Ravioli,12 piece,"*Mixed Ravioli, Toasted Mixed Ravioli, Mix Ravioli, Ravioli with Cheese and Beef, Toasted Ravioli with cheese and Beef, Ravioli with Beef and Cheese, Toasted Ravioli with Beef and Cheese, Mix Toasted Ravioli,Toasted Ravioli,raviolis*",
Game Day Special Combo,Standard,"*Game Day Special, Game Special, Game Day Combo, Game Combo*",
First Cheese Pizza,Large,,
Second Cheese Pizza,Large,,
Italian Salad,Small,"*Classic Italian Salad, Classic Italian, Small Italian Salad, Small Classic Italian Salad, Small Classic Italian, Small Italian*",
Italian Salad,Entree,"*Classic Italian Salad, Classic Italian, Entree Italian Salad, Entree Classic Italian Salad, Entree Classic Italian, Entree Italian*",
Italian Salad,Small Tray,"*Classic Italian Salad, Classic Italian*",
Italian Salad,Large Tray,"*Classic Italian Salad, Classic Italian*",
Side of Italian Salad,Standard,**,
