item_name,size,synonyms,Ingredients
Spicy Nicky Pizza,Small,"*Small Spicy Pizza,Small Nicky Pizza,Small Nickys Pizza,Small Nickies Pizza,Small Spicy Nicky,spicy nikki pizza,spicy nikki,Nicky,Nikky*",Chicago Mild Sauce
Spicy Nicky Pizza,Large,"*Large Spicy Pizza,Large Nicky Pizza,Large Nickys Pizza,Large Nickies Pizza,Large Spicy Nicky,spicy nikki pizza,spicy nikki,Nicky,Nikky*",Sweet Barbecue Sauce
Spicy Nicky Pizza,Extra Large,"*Extra Large Spicy Pizza,Extra Large Nicky Pizza,Extra Large Nickys Pizza,Extra Large Nickies Pizza,Extra Large Spicy Nicky,spicy nikki pizza,spicy nikki,Nicky,Nikky*",Golden Barbecue Sauce
Spicy Nicky Pizza,Gluten Free,"*Gluten Free Spicy Pizza,Gluten Free Nicky Pizza,Gluten Free Nickys Pizza,Gluten Free Nickies Pizza,Gluten Free Spicy Nicky,spicy nikki pizza,spicy nikki,Nicky,Nikky*",Garlic Parmesan Sauce
Sweet Caliente Pizza,Personal,"*Personal Sweet Caliente,Personal Caliente Pizza,Personal Sweet Pizza*",Pizza Sauce
Sweet Caliente Pizza,Small,"*Small Sweet Caliente,Small Caliente Pizza,Small Sweet Pizza,Caliente*",Plain
Sweet Caliente Pizza,Large,"*Large Sweet Caliente,Large Caliente Pizza,Large Sweet Pizza,Caliente*",Buffalo Sauce
Sweet Caliente Pizza,Extra Large,"*Extra Large Sweet Caliente,Extra Large Caliente Pizza,Extra Large Sweet Pizza,Caliente*",Sausage
Sweet Caliente Pizza,Gluten Free,"*Gluten Free Sweet Caliente,Gluten Free Caliente Pizza,Gluten Free Sweet Pizza,Caliente*",Extra Sausage
Double Turkey Pepperoni Pizza,Personal,"*Personal Pizza with Double Turkey Pepperoni,Double Turkey Pepperoni,Double dirty Pepperoni,Double thirty Pepperoni,Double thirsty Pepperoni,Double Turkey pizza*",Spicy Italian Sausage
Double Turkey Pepperoni Pizza,Small,"*Small Pizza with Double Turkey Pepperoni,Double Turkey Pepperoni,Double dirty Pepperoni,Double thirty Pepperoni,Double thirsty Pepperoni,Double Turkey pizza*",Turkey Sausage
Double Turkey Pepperoni Pizza,Large,"*Large Pizza with Double Turkey Pepperoni,Double Turkey Pepperoni,Double dirty Pepperoni,Double thirty Pepperoni,Double thirsty Pepperoni,Double Turkey pizza*",Pepperoni
Double Turkey Pepperoni Pizza,Extra Large,"*Extra Large Pizza with Double Turkey Pepperoni,Double Turkey Pepperoni,Double dirty Pepperoni,Double thirty Pepperoni,Double thirsty Pepperoni,Double Turkey pizza*",Extra Pepperoni
Double Turkey Pepperoni Pizza,Gluten Free,"*Gluten Free Pizza with Double Turkey Pepperoni,Double Turkey Pepperoni,Double dirty Pepperoni,Double thirty Pepperoni,Double thirsty Pepperoni,Double Turkey pizza*",Double Pepperoni
Strictly Veggie Pizza,Personal,"*Personal Garden Pizza,Personal Vegetarian Pizza,Personal Veggie Pizza,Personal Veg Pizza,Personal Veggie Combo Pizza,Garden Special,Veggie Deluxe Pizza,Vegetarian Special,Veggie Special,Vegetarian Special Pizza,Garden Special Pizza,Veggie,Vegetarian,Veg,Weight Pizza,strictly veggie,strictly veg*",Extra Double Pepperoni
Strictly Veggie Pizza,Small,"*Small Garden Pizza,Small Vegetarian Pizza,Small Veggie Pizza,Veg Pizza,Veggie Combo Pizza,Garden Special,Veggie Deluxe Pizza,Vegetarian Special,Veggie Special,Vegetarian Special Pizza,Garden Special Pizza,Veggie,Vegetarian,Veg,Weight Pizzastrictly veggie,strictly veg*",Turkey Pepperoni
